prosjekt;prosjekt_tekst;teneste;teneste_tekst;konto;konto_tekst;rekneskap_2011;budsjett_2012;budsjett_2013
1062;Forbygging/gangveg Elvevegen;33520;Turvegar;4290;Merverdiavgift som gir rett til momskompensasjon;42786,1;0;0
1062;Forbygging/gangveg Elvevegen;33520;Turvegar;4700;Overføringar til andre (private);17000;0;0
1062;Forbygging/gangveg Elvevegen;33520;Turvegar;5500;Avsetnader til bundne fond;1435346,94;0;0
1062;Forbygging/gangveg Elvevegen;33520;Turvegar;6500;Anna avgiftspliktig sal av varer, tenester m/opdg;-1235200;0;0
1062;Forbygging/gangveg Elvevegen;33520;Turvegar;7700;Refusjon frå andre (private);-659865;0;0
1062;Forbygging/gangveg Elvevegen;33520;Turvegar;9700;Overføringar frå driftsrekneskapet;-17114,44;0;0
1063;Rehabilitering Halbrend skule;22200;Skulelokale;1801;Brensel;40000;0;0
1063;Rehabilitering Halbrend skule;22200;Skulelokale;4290;Merverdiavgift som gir rett til momskompensasjon;10000;0;0
1063;Rehabilitering Halbrend skule;22200;Skulelokale;9700;Overføringar frå driftsrekneskapet;-4000;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;1800;Energi;68829,93;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;1951;Kommunale avgifter;30640;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;2001;Inventar og utstyr;23906,4;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;2302;Byggetenester;19317367,07;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;2307;Motpost fordelte utgifter;355176,73;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;2700;Andre tenester (som inngår i eigenproduksjon);1638971,71;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;2701;Konsulenttenester;1015858,6;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;4290;Merverdiavgift som gir rett til momskompensasjon;5517318,44;0;0
1063;Rehabilitering Halbrend skule;22220;Drift og vedlikehald av skulelokale;9700;Overføringar frå driftsrekneskapet;-2206927,37;0;0
1063;Rehabilitering Halbrend skule;87000;Renter/utbytte og lån;5009;Renteutgifter, provisjonar o.a. finansutg m/spes;420271,03;0;0
1063;Rehabilitering Halbrend skule;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-26227412,54;0;0
1065;Rehabilitering Vie barnehage;22120;Drift og vedlikehald av barnehagar;2302;Byggetenester;120175;0;0
1065;Rehabilitering Vie barnehage;22120;Drift og vedlikehald av barnehagar;2700;Andre tenester (som inngår i eigenproduksjon);4350;0;0
1065;Rehabilitering Vie barnehage;22120;Drift og vedlikehald av barnehagar;4290;Merverdiavgift som gir rett til momskompensasjon;31131,25;0;0
1065;Rehabilitering Vie barnehage;22120;Drift og vedlikehald av barnehagar;9480;Bruk av ubundne investeringsfond;-143203,75;0;0
1065;Rehabilitering Vie barnehage;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;-12452,5;0;0
1067;Ajourhald dekkbasen 2009;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-135990,81;0;0
1067;Ajourhald dekkbasen 2009;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;135990,81;0;0
1070;Vieåsen avkjøring Løland vassl.del 1-2009;34500;Distribusjon av vatn;2302;Byggetenester;63060;0;0
1070;Vieåsen avkjøring Løland vassl.del 1-2009;34500;Distribusjon av vatn;2700;Andre tenester (som inngår i eigenproduksjon);47426,18;0;0
1070;Vieåsen avkjøring Løland vassl.del 1-2009;35300;Avløpsnett/innsamling av avløpsvatn;2302;Byggetenester;9260;0;0
1070;Vieåsen avkjøring Løland vassl.del 1-2009;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-119746,18;0;0
1071;Hundvebakke va-sanering avløpsledning;35300;Avløpsnett/innsamling av avløpsvatn;2302;Byggetenester;88002,9;0;0
1071;Hundvebakke va-sanering avløpsledning;35300;Avløpsnett/innsamling av avløpsvatn;2700;Andre tenester (som inngår i eigenproduksjon);3323,2;0;0
1071;Hundvebakke va-sanering avløpsledning;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-91326,1;0;0
1072;Vieåsen avkjøring Løland avløpsledning del 1- 2009;35300;Avløpsnett/innsamling av avløpsvatn;2302;Byggetenester;53800;0;0
1072;Vieåsen avkjøring Løland avløpsledning del 1- 2009;35300;Avløpsnett/innsamling av avløpsvatn;2700;Andre tenester (som inngår i eigenproduksjon);47426,32;0;0
1072;Vieåsen avkjøring Løland avløpsledning del 1- 2009;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-101226,32;0;0
1073;Sunde-Farsund gangbru, omlegging av vatn;34500;Distribusjon av vatn;2302;Byggetenester;623787,32;0;0
1073;Sunde-Farsund gangbru, omlegging av vatn;35000;Avløpsreinsing;2302;Byggetenester;16800;0;0
1073;Sunde-Farsund gangbru, omlegging av vatn;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-640587,32;0;0
1075;Sunde-Farsund omlegging avløp;35300;Avløpsnett/innsamling av avløpsvatn;2302;Byggetenester;362944,52;0;0
1075;Sunde-Farsund omlegging avløp;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-362944,52;0;0
1076;Holsen barnehage/brakkerigg 2010;22120;Drift og vedlikehald av barnehagar;2000;Kjøp og finansiell leasing av driftsmidlar;4180;0;0
1076;Holsen barnehage/brakkerigg 2010;22120;Drift og vedlikehald av barnehagar;2302;Byggetenester;117095,2;0;0
1076;Holsen barnehage/brakkerigg 2010;22120;Drift og vedlikehald av barnehagar;4290;Merverdiavgift som gir rett til momskompensasjon;29273,8;0;0
1076;Holsen barnehage/brakkerigg 2010;22120;Drift og vedlikehald av barnehagar;9500;Bruk av bundne driftsfond;-356656,59;0;0
1076;Holsen barnehage/brakkerigg 2010;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;-12748,32;0;0
1076;Holsen barnehage/brakkerigg 2010;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;218855,91;0;0
1078;Idrettspark Hafstad 2008;33510;Parkar og grøntanlegg;1950;Avgifter, gebyr, lisensar o.l.;910;0;0
1078;Idrettspark Hafstad 2008;33510;Parkar og grøntanlegg;2701;Konsulenttenester;52800;0;0
1078;Idrettspark Hafstad 2008;33510;Parkar og grøntanlegg;4290;Merverdiavgift som gir rett til momskompensasjon;13200;0;0
1078;Idrettspark Hafstad 2008;33510;Parkar og grøntanlegg;9700;Overføringar frå driftsrekneskapet;-5280;0;0
1078;Idrettspark Hafstad 2008;38010;Drift- og vedlikehald av idrettsanlegg;2701;Konsulenttenester;40200;0;0
1078;Idrettspark Hafstad 2008;38010;Drift- og vedlikehald av idrettsanlegg;4290;Merverdiavgift som gir rett til momskompensasjon;10050;0;0
1078;Idrettspark Hafstad 2008;38010;Drift- og vedlikehald av idrettsanlegg;9700;Overføringar frå driftsrekneskapet;-4020;0;0
1078;Idrettspark Hafstad 2008;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-107860;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;12010;Administrativ leiing;1402;Representasjon;200;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;12010;Administrativ leiing;2701;Konsulenttenester;22217;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;1038,8;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;2302;Byggetenester;91044;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;2700;Andre tenester (som inngår i eigenproduksjon);95386;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;2800;Grunnerverv;3202920;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;4290;Merverdiavgift som gir rett til momskompensasjon;22761;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;7700;Refusjon frå andre (private);38191,68;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;7705;Refusjon frå andre (private) m/opdg;0;-4075647;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;9700;Overføringar frå driftsrekneskapet;-9104,4;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;9800;Rekneskapsmessig meirforbruk;-4075647,27;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33410;Gang- og sykkelvegar;2700;Andre tenester (som inngår i eigenproduksjon);55049,2;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33410;Gang- og sykkelvegar;4290;Merverdiavgift som gir rett til momskompensasjon;1618,8;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33410;Gang- og sykkelvegar;9700;Overføringar frå driftsrekneskapet;-647,52;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33520;Turvegar;2700;Andre tenester (som inngår i eigenproduksjon);471621,52;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33520;Turvegar;4290;Merverdiavgift som gir rett til momskompensasjon;13207,88;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;33520;Turvegar;9700;Overføringar frå driftsrekneskapet;-5283,15;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;87000;Renter/utbytte og lån;5009;Renteutgifter, provisjonar o.a. finansutg m/spes;75426,13;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-1052383;0;0
1079;Meierikvartalet-veg/gangveg/fortau 2009;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;1052383,33;4075647;0
1080;Grunnerverv og utgraving 2009;20100;Førskule;2700;Andre tenester (som inngår i eigenproduksjon);13983,2;0;0
1080;Grunnerverv og utgraving 2009;20100;Førskule;4290;Merverdiavgift som gir rett til momskompensasjon;3495,8;0;0
1080;Grunnerverv og utgraving 2009;20100;Førskule;9700;Overføringar frå driftsrekneskapet;-1398,32;0;0
1080;Grunnerverv og utgraving 2009;22120;Drift og vedlikehald av barnehagar;2700;Andre tenester (som inngår i eigenproduksjon);177751;0;0
1080;Grunnerverv og utgraving 2009;22120;Drift og vedlikehald av barnehagar;4290;Merverdiavgift som gir rett til momskompensasjon;21938;0;0
1080;Grunnerverv og utgraving 2009;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;-8775,2;0;0
1080;Grunnerverv og utgraving 2009;22120;Drift og vedlikehald av barnehagar;9800;Rekneskapsmessig meirforbruk;-206994,48;0;0
1082;Riving av Fjellvegen 2009;33320;Parkeringsplassar;1954;Gebyr;1800;0;0
1082;Riving av Fjellvegen 2009;33320;Parkeringsplassar;2302;Byggetenester;135000;0;0
1082;Riving av Fjellvegen 2009;33320;Parkeringsplassar;2701;Konsulenttenester;14920;0;0
1082;Riving av Fjellvegen 2009;33320;Parkeringsplassar;4290;Merverdiavgift som gir rett til momskompensasjon;37480;0;0
1082;Riving av Fjellvegen 2009;33320;Parkeringsplassar;9580;Bruk av bundne investeringsfond;-174208;0;0
1082;Riving av Fjellvegen 2009;33320;Parkeringsplassar;9700;Overføringar frå driftsrekneskapet;-14992;0;0
1086;Ny bil 33300/670-2011;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;2100;Kjøp, leige og leasing av transportmiddel;320100;0;0
1086;Ny bil 33300/670-2011;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;9800;Rekneskapsmessig meirforbruk;-54100;0;0
1086;Ny bil 33300/670-2011;35300;Avløpsnett/innsamling av avløpsvatn;2100;Kjøp, leige og leasing av transportmiddel;10000;0;0
1086;Ny bil 33300/670-2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-276000;-54100;0
1086;Ny bil 33300/670-2011;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;0;54100;0
1088;Vøling orgel Førde kyrkje 2011;39000;Den norske kyrkja;2405;Reparasjon av utstyr;399026,6;160000;0
1088;Vøling orgel Førde kyrkje 2011;39000;Den norske kyrkja;4290;Merverdiavgift som gir rett til momskompensasjon;99756,65;40000;0
1088;Vøling orgel Førde kyrkje 2011;39000;Den norske kyrkja;9109;Bruk av lån - inv.rekneskapet m/spes;0;-176000;0
1088;Vøling orgel Førde kyrkje 2011;39000;Den norske kyrkja;9700;Overføringar frå driftsrekneskapet;-39902,66;-24000;0
1088;Vøling orgel Førde kyrkje 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-458880,59;0;0
1089;Ringemaskin Haukedalen kyrkje 2011;39000;Den norske kyrkja;2306;Inventar og utstyr;95137;-64863;0
1089;Ringemaskin Haukedalen kyrkje 2011;39000;Den norske kyrkja;4290;Merverdiavgift som gir rett til momskompensasjon;23784,25;-16215,75;0
1089;Ringemaskin Haukedalen kyrkje 2011;39000;Den norske kyrkja;9109;Bruk av lån - inv.rekneskapet m/spes;0;74592,45;0
1089;Ringemaskin Haukedalen kyrkje 2011;39000;Den norske kyrkja;9700;Overføringar frå driftsrekneskapet;-9513,7;6486,3;0
1089;Ringemaskin Haukedalen kyrkje 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-109407,55;0;0
1090;ENØK-tiltak eigendel 2011;26550;Drift og vedlikehald kom. disp. bustader;2302;Byggetenester;30324,8;0;0
1090;ENØK-tiltak eigendel 2011;26550;Drift og vedlikehald kom. disp. bustader;4290;Merverdiavgift som gir rett til momskompensasjon;7581,2;0;0
1090;ENØK-tiltak eigendel 2011;26550;Drift og vedlikehald kom. disp. bustader;9700;Overføringar frå driftsrekneskapet;-3032,48;0;0
1090;ENØK-tiltak eigendel 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-34873,52;0;0
1091;Solsida/Haugum barnehage 2011;22120;Drift og vedlikehald av barnehagar;2701;Konsulenttenester;17210,4;0;0
1091;Solsida/Haugum barnehage 2011;22120;Drift og vedlikehald av barnehagar;4290;Merverdiavgift som gir rett til momskompensasjon;4302,6;0;0
1091;Solsida/Haugum barnehage 2011;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;-1721,04;0;0
1091;Solsida/Haugum barnehage 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-19791,96;0;0
1093;Førde ungdomskule 2011;22220;Drift og vedlikehald av skulelokale;2302;Byggetenester;5488;0;0
1093;Førde ungdomskule 2011;22220;Drift og vedlikehald av skulelokale;2700;Andre tenester (som inngår i eigenproduksjon);348414,4;0;0
1093;Førde ungdomskule 2011;22220;Drift og vedlikehald av skulelokale;4290;Merverdiavgift som gir rett til momskompensasjon;88363,1;0;0
1093;Førde ungdomskule 2011;22220;Drift og vedlikehald av skulelokale;9700;Overføringar frå driftsrekneskapet;-35345,24;0;0
1093;Førde ungdomskule 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-406920,26;0;0
1094;Kommunale bygg 2011;22120;Drift og vedlikehald av barnehagar;2000;Kjøp og finansiell leasing av driftsmidlar;35700;0;0
1094;Kommunale bygg 2011;22120;Drift og vedlikehald av barnehagar;2302;Byggetenester;9390;0;0
1094;Kommunale bygg 2011;22120;Drift og vedlikehald av barnehagar;4290;Merverdiavgift som gir rett til momskompensasjon;11272,5;0;0
1094;Kommunale bygg 2011;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;-4509;0;0
1094;Kommunale bygg 2011;22220;Drift og vedlikehald av skulelokale;2000;Kjøp og finansiell leasing av driftsmidlar;56400;0;0
1094;Kommunale bygg 2011;22220;Drift og vedlikehald av skulelokale;2302;Byggetenester;60404;0;0
1094;Kommunale bygg 2011;22220;Drift og vedlikehald av skulelokale;4290;Merverdiavgift som gir rett til momskompensasjon;29201;0;0
1094;Kommunale bygg 2011;22220;Drift og vedlikehald av skulelokale;9700;Overføringar frå driftsrekneskapet;-11680,4;0;0
1094;Kommunale bygg 2011;23210;Helsestasjon/skulehelseteneste;2000;Kjøp og finansiell leasing av driftsmidlar;9250;0;0
1094;Kommunale bygg 2011;23210;Helsestasjon/skulehelseteneste;4290;Merverdiavgift som gir rett til momskompensasjon;2312,5;0;0
1094;Kommunale bygg 2011;23210;Helsestasjon/skulehelseteneste;9700;Overføringar frå driftsrekneskapet;-925;0;0
1094;Kommunale bygg 2011;24110;Legesenter;2000;Kjøp og finansiell leasing av driftsmidlar;9250;0;0
1094;Kommunale bygg 2011;24110;Legesenter;4290;Merverdiavgift som gir rett til momskompensasjon;2312,5;0;0
1094;Kommunale bygg 2011;24110;Legesenter;9700;Overføringar frå driftsrekneskapet;-925;0;0
1094;Kommunale bygg 2011;26110;Drift og vedlikehald institusjonslokale;2000;Kjøp og finansiell leasing av driftsmidlar;36550;0;0
1094;Kommunale bygg 2011;26110;Drift og vedlikehald institusjonslokale;2302;Byggetenester;420604,08;0;0
1094;Kommunale bygg 2011;26110;Drift og vedlikehald institusjonslokale;4290;Merverdiavgift som gir rett til momskompensasjon;114288,52;0;0
1094;Kommunale bygg 2011;26110;Drift og vedlikehald institusjonslokale;9700;Overføringar frå driftsrekneskapet;-45715,41;0;0
1094;Kommunale bygg 2011;26500;Kommunalt disponerte bustadar;2302;Byggetenester;0;0;440000
1094;Kommunale bygg 2011;26500;Kommunalt disponerte bustadar;4290;Merverdiavgift som gir rett til momskompensasjon;0;0;110000
1094;Kommunale bygg 2011;26500;Kommunalt disponerte bustadar;9700;Overføringar frå driftsrekneskapet;0;0;-88000
1094;Kommunale bygg 2011;26550;Drift og vedlikehald kom. disp. bustader;1200;Samlepost anna forbruksmateriell/råvarer/tenester;1308;0;0
1094;Kommunale bygg 2011;26550;Drift og vedlikehald kom. disp. bustader;2001;Inventar og utstyr;16120;0;0
1094;Kommunale bygg 2011;26550;Drift og vedlikehald kom. disp. bustader;2302;Byggetenester;85589,6;0;0
1094;Kommunale bygg 2011;26550;Drift og vedlikehald kom. disp. bustader;4290;Merverdiavgift som gir rett til momskompensasjon;25754,4;0;0
1094;Kommunale bygg 2011;26550;Drift og vedlikehald kom. disp. bustader;9700;Overføringar frå driftsrekneskapet;-10301,76;0;0
1094;Kommunale bygg 2011;38100;Kommunale idrettsbygg og idrettsanlegg;2000;Kjøp og finansiell leasing av driftsmidlar;36550;0;0
1094;Kommunale bygg 2011;38100;Kommunale idrettsbygg og idrettsanlegg;2001;Inventar og utstyr;106695;0;0
1094;Kommunale bygg 2011;38100;Kommunale idrettsbygg og idrettsanlegg;2302;Byggetenester;152593,24;0;0
1094;Kommunale bygg 2011;38100;Kommunale idrettsbygg og idrettsanlegg;4290;Merverdiavgift som gir rett til momskompensasjon;63605,81;0;0
1094;Kommunale bygg 2011;38100;Kommunale idrettsbygg og idrettsanlegg;9700;Overføringar frå driftsrekneskapet;-25442,32;0;0
1094;Kommunale bygg 2011;38100;Kommunale idrettsbygg og idrettsanlegg;9800;Rekneskapsmessig meirforbruk;-173652,26;0;0
1094;Kommunale bygg 2011;38600;Kommunale kulturbygg;2001;Inventar og utstyr;109660;0;0
1094;Kommunale bygg 2011;38600;Kommunale kulturbygg;2302;Byggetenester;311693,2;0;0
1094;Kommunale bygg 2011;38600;Kommunale kulturbygg;4290;Merverdiavgift som gir rett til momskompensasjon;87823,3;0;0
1094;Kommunale bygg 2011;38600;Kommunale kulturbygg;9700;Overføringar frå driftsrekneskapet;-35129,32;0;0
1094;Kommunale bygg 2011;38600;Kommunale kulturbygg;9800;Rekneskapsmessig meirforbruk;-474047,18;0;0
1094;Kommunale bygg 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-1012000;0;-462000
1094;Kommunale bygg 2011;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;0;647699;0
1094;Kommunale bygg 2011;88000;Interne finansieringstransaksjonar;9480;Bruk av ubundne investeringsfond;0;-647699;0
1095;Eigenandel trafikktryggleikstiltak 2011;33310;Drift og vedlikehald - vegar;5500;Avsetnader til bundne fond;420000;0;0
1095;Eigenandel trafikktryggleikstiltak 2011;33310;Drift og vedlikehald - vegar;8102;Statstilskot, øyremerka;-420000;0;0
1096;Ballbinge Frøysland skule 2010;20220;Undervisning i grunnskulen;3700;Kjøp av tenester frå andre (private);5122,4;0;0
1096;Ballbinge Frøysland skule 2010;20220;Undervisning i grunnskulen;4290;Merverdiavgift som gir rett til momskompensasjon;1280,6;0;0
1096;Ballbinge Frøysland skule 2010;20220;Undervisning i grunnskulen;8100;Andre statlege overføringar;323858,39;0;0
1096;Ballbinge Frøysland skule 2010;20220;Undervisning i grunnskulen;8102;Statstilskot, øyremerka;-200000;0;0
1096;Ballbinge Frøysland skule 2010;20220;Undervisning i grunnskulen;9700;Overføringar frå driftsrekneskapet;-512,24;0;0
1096;Ballbinge Frøysland skule 2010;20220;Undervisning i grunnskulen;9800;Rekneskapsmessig meirforbruk;-129749,15;0;0
1096;Ballbinge Frøysland skule 2010;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;0;129749;0
1096;Ballbinge Frøysland skule 2010;88000;Interne finansieringstransaksjonar;9480;Bruk av ubundne investeringsfond;0;-129749;0
1097;IKT-2011;12052;Edb;1957;Lisensar;713554;0;0
1097;IKT-2011;12052;Edb;2000;Kjøp og finansiell leasing av driftsmidlar;219804,14;0;0
1097;IKT-2011;12052;Edb;3500;Kjøp av tenester frå kommunar;81244;0;0
1097;IKT-2011;12052;Edb;4290;Merverdiavgift som gir rett til momskompensasjon;194538,53;0;0
1097;IKT-2011;12052;Edb;9700;Overføringar frå driftsrekneskapet;-77815,41;0;0
1097;IKT-2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-1131325,26;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33500;Rekreasjon i tettstad;2302;Byggetenester;13615,2;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33500;Rekreasjon i tettstad;2700;Andre tenester (som inngår i eigenproduksjon);357085,7;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33500;Rekreasjon i tettstad;4290;Merverdiavgift som gir rett til momskompensasjon;45814;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33500;Rekreasjon i tettstad;8300;Overføringar frå fylkeskommunar;-125000;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33500;Rekreasjon i tettstad;9700;Overføringar frå driftsrekneskapet;-18325,6;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33520;Turvegar;2700;Andre tenester (som inngår i eigenproduksjon);64946,2;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33520;Turvegar;4290;Merverdiavgift som gir rett til momskompensasjon;8147,8;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33520;Turvegar;5500;Avsetnader til bundne fond;156975,82;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33520;Turvegar;8900;Overføringar frå andre (private);-500000;0;0
1100;Elveforbygging L & N i sentrum Sør 2011;33520;Turvegar;9700;Overføringar frå driftsrekneskapet;-3259,12;0;0
1102;Fast dekke 2011;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;2500;Materiale til påkostning og nybygg;290009,88;0;0
1102;Fast dekke 2011;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;3700;Kjøp av tenester frå andre (private);240921,92;0;0
1102;Fast dekke 2011;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;4290;Merverdiavgift som gir rett til momskompensasjon;72502,47;0;0
1102;Fast dekke 2011;33300;Kommunale vegar, nyanlegg, drift og vedlikehald;9700;Overføringar frå driftsrekneskapet;-29000,98;0;0
1102;Fast dekke 2011;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-574433,29;0;0
1104;Sunde fotballbane 2010;22200;Skulelokale;2302;Byggetenester;124125,2;0;0
1104;Sunde fotballbane 2010;22200;Skulelokale;4290;Merverdiavgift som gir rett til momskompensasjon;31031,3;0;0
1104;Sunde fotballbane 2010;22200;Skulelokale;7700;Refusjon frå andre (private);-200000;0;0
1104;Sunde fotballbane 2010;22200;Skulelokale;9700;Overføringar frå driftsrekneskapet;-12412,52;0;0
1104;Sunde fotballbane 2010;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;57256,02;0;0
1106;Angedalsvegen 6-bhg-2010;22120;Drift og vedlikehald av barnehagar;2000;Kjøp og finansiell leasing av driftsmidlar;22260;0;0
1106;Angedalsvegen 6-bhg-2010;22120;Drift og vedlikehald av barnehagar;2302;Byggetenester;495831,3;0;0
1106;Angedalsvegen 6-bhg-2010;22120;Drift og vedlikehald av barnehagar;2700;Andre tenester (som inngår i eigenproduksjon);22997,6;0;0
1106;Angedalsvegen 6-bhg-2010;22120;Drift og vedlikehald av barnehagar;4290;Merverdiavgift som gir rett til momskompensasjon;135272,23;0;0
1106;Angedalsvegen 6-bhg-2010;22120;Drift og vedlikehald av barnehagar;9700;Overføringar frå driftsrekneskapet;-54108,89;0;0
1106;Angedalsvegen 6-bhg-2010;22120;Drift og vedlikehald av barnehagar;9800;Rekneskapsmessig meirforbruk;-24252,24;0;0
1106;Angedalsvegen 6-bhg-2010;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-598000;0;0
1106;Angedalsvegen 6-bhg-2010;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;0;24252;0
1106;Angedalsvegen 6-bhg-2010;88000;Interne finansieringstransaksjonar;9480;Bruk av ubundne investeringsfond;0;-24252;0
1107;Førde Vassverk, UV-anlegg 2009;34000;Produksjon av vatn;2302;Byggetenester;92158,4;0;0
1107;Førde Vassverk, UV-anlegg 2009;34000;Produksjon av vatn;2700;Andre tenester (som inngår i eigenproduksjon);19152,8;0;0
1107;Førde Vassverk, UV-anlegg 2009;34500;Distribusjon av vatn;2302;Byggetenester;172160,8;0;0
1107;Førde Vassverk, UV-anlegg 2009;34500;Distribusjon av vatn;2700;Andre tenester (som inngår i eigenproduksjon);36881,6;0;0
1107;Førde Vassverk, UV-anlegg 2009;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-320353,6;0;0
1108;Bystien 2010;36000;Naturforvaltning og friluftsliv;2302;Byggetenester;1477970,4;0;0
1108;Bystien 2010;36000;Naturforvaltning og friluftsliv;4290;Merverdiavgift som gir rett til momskompensasjon;43692,6;0;0
1108;Bystien 2010;36000;Naturforvaltning og friluftsliv;8900;Overføringar frå andre (private);-1477970,4;0;0
1108;Bystien 2010;36000;Naturforvaltning og friluftsliv;9700;Overføringar frå driftsrekneskapet;-17477,04;0;0
1108;Bystien 2010;36000;Naturforvaltning og friluftsliv;9701;Overføringar frå driftsrek. Etter K.vedtak;-26215,56;0;0
1109;Mur Haukedalen kyrkje;39000;Den norske kyrkja;2302;Byggetenester;15730;64863;0
